Generation,StartingEnergy,Speed,DetectRange,BreedEnergy,BabyEnergy,AttentionSpan,Desirability,DesirabilityThreshold,Lifespan,Age,BirthTime,COD
23,39.13334,0.538479,52.592583,35.11044,21.084373,500.0,89.112,5.7987714,7254,182,6571,Starvation
14,22.959637,0.3344014,48.08318,27.322266,10.349447,500.0,113.97418,6.056519,8973,1274,5482,Starvation
12,38.84977,0.37098873,45.212658,27.754795,20.878782,500.0,84.81981,3.391191,5751,2764,3997,Starvation
27,34.615517,0.30204883,37.48759,28.090788,17.988901,500.0,137.45827,3.9246664,7945,168,6611,Starvation
14,25.45216,0.35703307,62.48353,30.053967,11.202251,500.0,83.41556,4.28006,9314,1144,5636,Starvation
24,27.541573,0.66955566,38.77186,25.471096,12.656307,500.0,207.66614,5.1931376,6107,397,6407,Starvation
17,26.876053,0.27613044,36.196117,24.996614,17.389,500.0,160.71658,5.5402,6064,1096,5714,Starvation
26,41.51096,0.29321817,34.418,32.98993,18.022247,500.0,206.44846,5.179686,10205,306,6524,Starvation
16,24.307467,0.3296509,49.266296,36.541573,9.189521,500.0,73.746,5.30788,9311,495,6354,Starvation
20,35.808456,0.22399014,43.237686,29.583109,15.068028,500.0,175.20728,5.95781,5391,658,6202,Starvation
25,28.940952,0.43205303,52.10597,28.452461,16.599293,500.0,214.85895,5.2481904,7139,125,6748,Starvation
21,27.752253,0.24547106,52.265255,23.083141,11.3665,500.0,167.75235,5.2552347,6172,415,6477,Starvation
21,28.826958,0.4502266,40.604565,32.82784,17.922188,500.0,176.14223,4.3300333,5910,894,6030,Starvation
18,45.875137,0.30428055,59.905296,27.481627,17.530281,500.0,143.66574,3.819196,5517,1210,5724,Starvation
28,30.976332,0.34212926,39.092564,34.90252,15.134105,500.0,243.34596,4.5681453,10021,311,6626,Starvation
19,30.425808,0.18906683,31.752193,28.8766,15.393218,500.0,162.49556,6.461796,5028,1266,5713,Starvation
23,44.73032,0.25121158,50.694824,31.249441,26.351913,500.0,178.52762,6.6776414,7909,185,6801,Starvation
16,26.075611,0.37414864,31.100132,20.64513,12.079876,500.0,89.02993,5.6602483,5858,1512,5516,Starvation
23,31.104065,0.3563319,56.595352,24.295498,14.137263,500.0,234.32611,4.1329956,7474,497,6549,Starvation
11,29.005333,0.2376697,47.31934,37.223015,14.776973,500.0,98.00456,4.762618,11058,2553,4495,Starvation
