Generation,StartingEnergy,Speed,DetectRange,BreedEnergy,BabyEnergy,AttentionSpan,Desirability,DesirabilityThreshold,Lifespan,Age
9,15.621522,0.5471966,66.62778,98.43299,7.0520816,500.0,79.4617,7.033856,4284,26409
8,16.332346,0.5068788,56.839634,98.89521,8.357017,500.0,85.66603,7.335731,4827,38894
9,16.89479,0.5882341,59.20177,93.26625,9.104928,500.0,78.96973,7.0645537,4186,35460
9,17.985828,0.59556025,62.158714,100.650276,9.755493,500.0,84.884796,7.4545236,4456,36325
9,17.809626,0.6248056,59.87172,110.19332,8.816987,500.0,76.843216,7.365699,4457,37064
8,17.143612,0.51099116,64.6797,99.03695,9.200002,500.0,79.1286,7.5388713,4728,41220
8,17.025047,0.51030886,60.31871,105.8685,8.716375,500.0,90.24896,7.153404,5517,44367
9,17.324612,0.5911838,60.15217,107.57025,9.515069,500.0,82.29872,6.86639,4360,36767
8,15.787029,0.51120824,59.284607,105.67251,7.31343,500.0,83.13836,6.1925664,5580,38095
9,15.848668,0.58319414,63.540245,112.12707,7.745542,500.0,79.7739,6.686257,4712,38281
9,17.17399,0.62657833,56.263153,111.03735,8.174819,500.0,79.47596,6.945265,4892,45371
9,16.305674,0.5923678,62.87778,99.53188,8.664277,500.0,91.31529,6.41562,4428,46213
9,15.544474,0.56924444,62.44783,99.86619,8.255127,500.0,79.62031,6.390027,5332,47163
9,16.180109,0.62349755,67.159676,108.97643,8.140439,500.0,74.86477,7.3449545,4449,49178
9,15.386981,0.6200478,68.04056,103.61012,7.7609053,500.0,76.99199,7.1521053,5130,45948
8,17.126385,0.5324775,57.936104,105.08177,9.395804,500.0,75.63198,7.445793,4726,54890
9,15.366847,0.5210135,57.900154,114.89307,6.8800306,500.0,76.0646,6.457959,5134,57747
10,17.808075,0.55027205,54.480927,95.17281,9.143953,500.0,88.835144,7.7315474,4772,61590
