Generation,StartingEnergy,Speed,DetectRange,BreedEnergy,BabyEnergy,AttentionSpan,Desirability,DesirabilityThreshold,Lifespan,Age,COD
11,39.761856,0.32872224,91.84519,72.59001,19.116096,500.0,88.28747,5.1560993,4058,4017,Starvation
7,45.379536,0.26277867,101.05714,59.30964,23.72992,500.0,81.67204,5.398985,6345,5718,Starvation
16,44.32082,0.28779072,96.04878,61.79929,23.95585,500.0,94.794136,5.2439547,4900,705,Starvation
13,39.064026,0.352219,80.77455,71.4234,17.602776,500.0,86.158554,5.248867,4009,4040,Starvation
11,38.934605,0.33322895,80.9188,62.153862,18.536716,500.0,89.79025,4.6713634,4432,4149,Starvation
16,43.825867,0.37752765,75.3818,74.035286,20.631853,500.0,97.41133,4.5905104,4571,2527,Starvation
9,42.912056,0.3291149,82.86875,76.61902,20.797909,500.0,79.1288,4.9529867,3836,5223,Starvation
12,45.51055,0.31897423,95.62276,67.74494,23.785498,500.0,99.863174,5.8307815,4737,4780,Starvation
12,41.23008,0.34615722,87.3351,77.88137,20.52731,500.0,97.233475,5.110458,3777,4182,Starvation
15,43.68679,0.3128219,95.192566,66.82163,21.28346,500.0,93.55163,6.021251,5116,3438,Starvation
11,43.39039,0.27774948,88.15187,64.621666,23.116823,500.0,99.73588,5.0953994,3943,5030,Starvation
17,43.58472,0.38645566,76.84516,65.95545,23.591108,500.0,111.38327,5.596433,5189,2275,Old Age
16,40.28827,0.30543077,76.4495,60.19132,19.35389,500.0,89.82669,4.555587,3697,2711,Starvation
13,42.030502,0.32378972,93.56121,72.951256,19.44593,500.0,87.601715,4.8277073,4460,2783,Starvation
15,38.85617,0.3011031,89.67589,63.74477,21.367952,500.0,87.02824,5.06933,4118,1249,Starvation
17,44.328598,0.34422493,84.41647,76.566284,23.925732,500.0,105.726814,4.525075,3484,1466,Starvation
13,40.127235,0.3297898,90.14004,65.57577,20.767727,500.0,92.70557,4.3725677,4154,2987,Starvation
14,44.52323,0.3372207,84.874855,64.57528,22.952868,500.0,107.62133,5.5889134,5327,3504,Starvation
12,42.578545,0.32439157,85.15295,78.567116,21.08498,500.0,80.22761,4.6794004,3967,5677,Starvation
6,42.21133,0.29650912,95.23952,57.97364,21.15002,500.0,83.873505,4.626925,4676,5924,Starvation
11,41.30491,0.3136567,78.77938,68.091934,21.780634,500.0,99.29367,5.267289,4163,5858,Starvation
15,44.601547,0.3315725,102.42681,70.92178,23.246145,500.0,93.46596,5.7326317,5215,3965,Starvation
17,39.542835,0.3200774,86.24615,57.131775,20.093517,500.0,99.98695,4.50104,3663,3397,Starvation
6,41.342434,0.3475977,82.58396,65.4668,21.41996,500.0,85.25095,5.2057004,4356,7780,Old Age
14,41.031464,0.3376123,96.9436,61.404045,19.19341,500.0,89.61687,4.958148,4171,2970,Starvation
14,42.22152,0.3352939,81.332466,66.870605,19.564493,500.0,102.960144,4.60594,3907,4554,Starvation
15,43.720596,0.35055467,90.60237,64.49854,22.653591,500.0,95.014656,4.738782,4697,3736,Starvation
13,40.966248,0.29506737,102.01397,57.81454,19.66276,500.0,95.64022,4.7199187,4887,4465,Starvation
18,43.5999,0.3253424,72.029106,75.10997,22.03996,500.0,97.01994,5.7500353,3935,2467,Starvation
17,46.36862,0.27980888,72.946556,74.48702,22.827812,500.0,107.59984,5.8694205,4637,3237,Starvation
18,47.516838,0.36066628,79.14984,65.472534,25.01454,500.0,106.45787,5.5917625,4826,2227,Starvation
18,48.885338,0.37264276,74.123314,74.14717,25.523546,500.0,106.17223,4.9916277,4984,2719,Starvation
21,49.913784,0.3366867,82.10831,72.882675,27.04314,500.0,104.09453,4.9906335,5157,960,Starvation
15,43.29598,0.3602323,82.206024,71.65094,20.60917,500.0,98.89009,4.8569026,4655,4228,Starvation
16,43.426205,0.31556427,91.19777,72.424034,21.265144,500.0,92.59667,5.1235538,3658,2760,Starvation
20,48.638428,0.36993858,93.71254,69.091286,26.62157,500.0,100.64793,4.993011,5076,1722,Starvation
15,43.26601,0.29586643,91.04925,71.27268,19.394754,500.0,93.62682,5.181119,4899,3546,Starvation
13,39.064026,0.31320426,77.76384,67.4944,19.710392,500.0,101.664665,4.5921793,4150,5223,Old Age
16,44.505882,0.2840414,89.120804,76.164925,22.450417,500.0,96.1965,5.713611,4499,4498,Starvation
17,42.487762,0.29112613,78.578674,65.73813,19.283287,500.0,102.69489,5.5392904,4770,2234,Starvation
23,45.766235,0.32485545,80.83831,63.122635,22.863817,500.0,117.09279,5.0637765,4774,1209,Starvation
23,49.67873,0.35544673,79.525215,78.441376,22.56467,500.0,121.668106,6.010821,4226,1023,Starvation
15,40.33731,0.3173053,81.26545,71.939926,20.772614,500.0,110.74358,4.6676755,3506,5201,Starvation
20,47.132996,0.31849974,90.90337,71.98207,23.2394,500.0,95.133514,5.9772763,5168,740,Starvation
17,45.49687,0.2837647,85.97395,73.99464,25.139767,500.0,112.61317,5.1125712,4593,3206,Starvation
17,42.459206,0.26779896,77.358894,72.15088,19.580164,500.0,103.96568,5.337248,3991,2676,Starvation
22,42.73479,0.31410897,81.815956,74.50268,22.819998,500.0,121.19483,5.4931817,5035,929,Starvation
14,40.21455,0.32507783,81.35507,66.729675,20.343111,500.0,88.90975,4.383682,3879,5840,Starvation
20,46.05053,0.32418665,79.83594,65.551414,25.231205,500.0,105.28515,5.4822426,4864,2710,Starvation
20,46.72254,0.35542217,79.62868,78.5507,21.344036,500.0,116.103065,5.215291,4828,1505,Starvation
8,40.200394,0.36606148,90.84593,65.78184,18.835283,500.0,79.754295,4.7427907,4904,9277,Starvation
16,43.758583,0.30683935,74.92333,75.06583,20.008791,500.0,103.16856,5.5811243,3603,4339,Starvation
24,42.895363,0.3505918,74.59094,67.7537,21.52702,500.0,117.41355,5.483952,5637,1465,Starvation
26,44.873497,0.33980694,68.60617,61.248013,21.849981,500.0,125.71339,5.589898,5369,1263,Starvation
16,43.454987,0.26762798,88.4345,74.90326,19.587427,500.0,91.123215,4.208197,4009,3794,Starvation
23,44.377785,0.35058457,81.092735,81.83186,20.320366,500.0,99.89158,5.13487,4476,2039,Starvation
25,45.668106,0.3683879,74.4381,67.00938,21.019062,500.0,123.820435,5.017332,4961,1288,Starvation
19,40.65937,0.30014312,70.92027,79.97883,19.167645,500.0,111.78618,5.74291,3748,3658,Starvation
22,48.46604,0.34230188,73.468864,69.49867,24.96555,500.0,111.23446,5.8726435,5153,2487,Starvation
25,49.422207,0.3420737,77.69531,66.190735,25.054214,500.0,118.81329,5.336582,5112,1745,Starvation
22,46.510628,0.36782908,84.46959,66.69283,24.268963,500.0,107.3127,6.13956,4700,1967,Starvation
25,44.05652,0.33523625,78.32019,60.24884,20.5901,500.0,111.71194,4.969595,5053,1986,Starvation
15,41.906006,0.3421473,82.07564,63.642143,23.216696,500.0,106.57455,5.066629,4792,6831,Starvation
26,45.30246,0.358943,67.86724,72.03494,23.183594,500.0,114.84437,5.035293,4977,973,Starvation
19,49.114655,0.38793918,75.00058,67.40805,24.682579,500.0,115.88205,5.4205723,5113,5278,Starvation
21,47.807186,0.36415738,76.501,66.28912,25.481262,500.0,112.16434,5.757854,5423,3965,Starvation
25,46.818466,0.3402973,79.74599,72.13257,21.87454,500.0,130.69814,5.4974117,5112,1970,Starvation
18,45.449272,0.3775964,70.93128,59.417927,22.671812,500.0,111.88161,4.771563,4980,4799,Starvation
26,47.338623,0.34153917,73.15113,68.23952,23.814655,500.0,127.12683,4.7838745,4850,1999,Starvation
24,48.346054,0.38536605,77.637955,71.72232,21.91156,500.0,132.31311,5.5694146,4472,1266,Starvation
21,44.709015,0.33106008,81.5476,65.42551,22.568819,500.0,100.23706,5.999733,4600,3223,Starvation
28,47.679546,0.34800616,85.57209,86.33927,22.77289,500.0,128.97859,5.548635,4963,1751,Starvation
24,48.83827,0.31559792,62.07454,75.509796,23.993113,500.0,121.042206,5.217767,5363,1000,Starvation
23,44.82742,0.33512455,76.62718,67.35166,20.57263,500.0,132.69862,4.7107477,5324,4127,Starvation
17,43.619408,0.25223103,81.61977,81.642784,21.02237,500.0,109.78026,4.2186823,4278,3438,Starvation
26,44.76474,0.32183552,68.317024,67.981186,23.346775,500.0,123.73321,4.858382,5045,1716,Starvation
25,48.364883,0.33251765,84.74093,65.85126,22.307798,500.0,102.3985,5.3603773,4380,1012,Starvation
24,46.50648,0.3894196,85.884865,79.95253,24.503794,500.0,126.77871,5.478739,4277,3472,Starvation
17,44.37509,0.3297395,89.07537,68.50042,22.308596,500.0,109.11431,4.4390917,4251,5499,Starvation
17,47.248672,0.31419346,74.824974,70.37131,24.311117,500.0,117.92031,4.6190825,4446,4238,Starvation
24,45.188454,0.33842832,77.89768,79.555016,21.296974,500.0,125.36595,5.4577675,5501,2703,Starvation
25,48.79992,0.35512835,66.76489,69.952805,22.284409,500.0,128.01598,4.999871,5063,4044,Starvation
19,40.045334,0.31241983,77.663216,70.904816,21.88088,500.0,92.22328,5.9519234,5117,6183,Starvation
16,44.24205,0.29287288,80.646065,74.33879,24.031979,500.0,111.451035,5.1774697,4718,8541,Starvation
22,51.59801,0.3446403,74.12307,66.912445,25.621355,500.0,120.506836,5.4931235,5285,5005,Starvation
28,47.679546,0.41803822,85.10673,79.36309,25.009823,500.0,130.13062,6.097437,4934,1228,Starvation
26,45.973236,0.36911732,72.64337,64.46528,23.684143,500.0,105.264626,5.0274396,4432,3974,Starvation
24,47.522797,0.32158735,85.53209,76.19981,22.198921,500.0,120.26073,6.395471,5353,4283,Starvation
27,52.481842,0.37253812,82.10245,67.598015,25.650444,500.0,123.19803,5.471963,5569,2763,Starvation
27,47.58915,0.33872297,70.044716,68.15702,23.925018,500.0,124.51891,5.841408,4853,1999,Starvation
24,46.955208,0.34834978,74.472145,65.16345,21.418953,500.0,124.17335,5.002346,4363,2257,Starvation
22,47.360737,0.3561753,70.84995,77.14628,23.112642,500.0,127.81396,5.826955,5166,6126,Starvation
17,42.804123,0.33158368,87.26802,65.424095,23.253796,500.0,91.85636,5.0669518,4243,5947,Starvation
25,45.68372,0.36473486,69.49116,63.77687,25.130547,500.0,121.33954,4.5109463,5571,3456,Starvation
16,46.199013,0.32163137,84.28311,71.51637,23.277403,500.0,103.35751,5.159252,5074,9481,Starvation
23,45.421238,0.33044714,72.55059,65.81813,24.755293,500.0,128.93715,5.5846725,4385,5458,Starvation
21,45.504898,0.34830916,72.08927,72.67329,23.451504,500.0,127.64355,5.623215,5346,7096,Starvation
27,49.17174,0.38905454,75.7904,75.41578,22.32246,500.0,122.32274,5.366714,4938,3824,Starvation
32,53.47481,0.39317253,78.89123,69.38257,28.04768,500.0,132.44647,5.348726,4920,1286,Starvation
22,50.073074,0.35667127,83.43472,78.098976,22.553905,500.0,105.683136,5.25049,5212,5277,Starvation
31,51.179256,0.34851822,78.314064,74.75634,27.448446,500.0,130.297,4.7358413,5621,1513,Starvation
25,49.866383,0.3214292,67.34361,72.83101,23.745676,500.0,129.54907,5.832426,4480,5288,Starvation
24,49.76466,0.33494338,68.06689,62.39624,23.289999,500.0,134.10655,5.738515,5540,2766,Starvation
25,48.280205,0.35547262,72.692,67.65945,23.118261,500.0,103.99536,4.4311833,4801,2984,Starvation
24,47.7349,0.31898987,70.23169,69.0961,23.890537,500.0,138.26074,6.1268487,5173,1990,Starvation
31,52.229485,0.39169163,68.19746,78.28259,27.977737,500.0,147.04285,6.275813,5396,2464,Starvation
23,50.176224,0.35608456,67.195854,69.89121,24.283398,500.0,131.1972,6.026835,4703,5089,Starvation
19,46.296158,0.35545734,73.527214,66.3076,21.734669,500.0,107.13694,4.9744873,3848,7030,Starvation
25,49.562546,0.34390685,68.963295,71.35311,24.297703,500.0,144.05879,5.6009645,4916,1254,Starvation
27,49.04123,0.380189,74.81799,76.56187,23.507853,500.0,111.89452,5.015682,5111,4406,Old Age
17,44.663834,0.32968155,81.16679,76.579155,23.169117,500.0,99.852646,4.540248,5008,7216,Starvation
28,53.162132,0.33449417,80.67961,73.77001,25.396364,500.0,130.13712,4.941779,5071,1783,Starvation
20,50.206123,0.40151057,67.30823,72.831085,23.271183,500.0,121.28375,4.834551,4735,5788,Starvation
28,49.847046,0.35079464,67.785706,78.90896,23.611605,500.0,139.38727,5.708348,5160,3014,Starvation
24,49.83364,0.35956466,66.34265,82.343605,24.598051,500.0,121.640625,5.964363,4906,3835,Old Age
27,44.78586,0.36052272,84.331635,62.04064,22.655766,500.0,109.139114,5.3058786,4903,2199,Starvation
20,45.947723,0.3737093,78.330894,74.783554,23.909233,500.0,114.39148,5.3250713,3994,7244,Starvation
25,47.00305,0.3451006,72.28617,73.42546,24.795824,500.0,127.76432,4.6700945,4749,1474,Starvation
17,46.4941,0.33115548,82.971596,66.23877,23.802032,500.0,109.22036,5.4747868,5072,9716,Starvation
25,48.68757,0.33321202,67.56077,75.31703,22.189377,500.0,119.130615,5.8172,5662,2516,Starvation
27,46.929268,0.34545624,61.78421,65.73788,25.152588,500.0,120.301636,5.0792227,4569,3468,Starvation
22,49.871277,0.38854808,72.72067,70.68438,25.73692,500.0,111.90015,5.299112,5289,6721,Starvation
32,48.844765,0.34848872,69.843956,58.484924,22.563093,500.0,138.71162,5.4124007,4906,2360,Old Age
21,46.737366,0.36567628,77.54174,72.12834,23.94181,500.0,125.92865,5.6665106,4088,6814,Starvation
21,48.780052,0.32731876,90.84967,77.67301,25.024878,500.0,113.167595,5.32868,4342,7989,Starvation
30,51.28389,0.34300637,68.72925,71.98139,24.920855,500.0,141.40437,5.123373,4763,2015,Starvation
22,47.326492,0.32920226,68.083015,64.38347,23.68883,500.0,103.06365,5.4573855,4408,6264,Starvation
32,49.164772,0.3389921,80.82335,78.98535,23.427544,500.0,152.45093,5.1098766,4506,1009,Starvation
29,49.664845,0.34101468,64.84729,73.16194,24.611277,500.0,118.90341,6.385273,5042,4752,Starvation
17,45.49687,0.3307786,79.25285,73.909065,24.79415,500.0,101.54608,4.7671304,4124,9707,Starvation
25,47.774864,0.36724237,76.58703,73.159584,25.196085,500.0,131.75871,5.8740993,5403,5973,Starvation
27,52.642235,0.35730213,78.16003,65.7332,25.368597,500.0,138.21397,4.6265926,4979,2271,Starvation
5,40.387417,0.3367922,79.28913,59.94089,21.878407,500.0,78.79661,4.6610594,4927,15468,Starvation
24,45.188454,0.33840832,80.303856,87.57316,21.735285,500.0,104.22327,5.645192,5283,6203,Starvation
32,50.21225,0.36530805,76.00019,71.67786,23.30306,500.0,148.34665,5.667898,4890,2271,Starvation
33,50.748558,0.4028787,69.606346,68.21135,24.098534,500.0,144.20082,5.913929,5087,768,Starvation
31,48.613304,0.40331665,83.26502,84.12382,26.30411,500.0,130.22388,4.939612,4572,2975,Starvation
26,51.399433,0.3910464,73.231865,73.18606,24.52558,500.0,114.9341,5.4145145,4343,5530,Starvation
29,49.33583,0.33755797,76.79628,66.67085,26.15755,500.0,129.65997,4.9443717,5761,2472,Starvation
34,47.043175,0.37965134,72.683495,77.357254,25.57654,500.0,131.10191,5.1909614,4681,966,Starvation
27,49.882668,0.41811875,83.74656,84.17428,26.472961,500.0,137.10529,5.275034,4236,5512,Old Age
33,52.154686,0.37947288,60.961124,77.359314,25.59943,500.0,127.95034,6.0940638,4940,3761,Starvation
25,49.020325,0.39006156,75.07011,73.13839,24.452124,500.0,113.21327,4.9862256,4702,4242,Starvation
27,46.133377,0.33148906,71.642746,66.08991,23.854464,500.0,130.38287,5.490277,5274,6224,Starvation
17,45.399933,0.28331602,77.842804,69.4065,25.086983,500.0,91.42363,5.2309446,4478,10456,Starvation
29,49.664845,0.36562532,75.49322,74.89648,23.639492,500.0,131.83961,5.9167504,5230,5512,Starvation
29,49.314785,0.39993718,78.62384,83.01352,24.416018,500.0,136.24657,5.5728073,5100,4501,Starvation
26,49.045914,0.34069318,68.77818,80.259766,22.778927,500.0,120.13829,5.8796787,4201,1536,Starvation
31,50.926445,0.3549717,78.642365,67.399155,25.349794,500.0,148.40392,4.43494,4490,1004,Starvation
35,48.055595,0.3430146,83.798836,68.74747,23.55956,500.0,160.36641,5.5306454,5581,746,Starvation
32,51.090378,0.37195572,62.96216,83.92798,27.460232,500.0,130.80824,6.374312,5544,4713,Starvation
27,47.07611,0.3140238,65.209625,72.46159,22.090946,500.0,133.22523,6.7709627,4690,3751,Starvation
33,51.196297,0.39697757,76.50029,70.00357,25.0543,500.0,132.80188,5.274651,4965,2262,Starvation
35,49.96032,0.42000365,73.1999,76.56358,27.456871,500.0,144.68097,5.1973453,4934,952,Starvation
28,50.32324,0.40317544,74.37905,61.65413,22.801916,500.0,134.46611,5.1741495,4949,2321,Starvation
24,40.91574,0.34757453,74.784836,66.48038,21.384708,500.0,123.41111,4.570691,4678,8305,Starvation
25,51.797752,0.38696554,67.61209,67.99762,26.68894,500.0,116.93406,6.0268126,4760,5366,Old Age
28,48.607674,0.39849603,69.240036,68.44931,25.329317,500.0,113.73022,4.887,5108,6734,Starvation
25,45.34504,0.3717195,61.67443,80.40744,23.517324,500.0,127.7542,6.183967,4518,3470,Starvation
29,55.076332,0.3814474,75.31147,75.28968,26.972775,500.0,149.52539,5.305808,5456,5445,Old Age
30,52.593895,0.37893105,75.6941,82.6396,26.290842,500.0,147.82791,5.0178003,5029,5226,Starvation
29,48.129974,0.3479476,89.5194,78.48745,24.791796,500.0,121.09037,5.5344872,4779,5735,Starvation
