Generation,StartingEnergy,Speed,DetectRange,BreedEnergy,BabyEnergy,AttentionSpan,Desirability,DesirabilityThreshold,Age
10,31.998802,0.6016128,44.80117,97.887985,17.55378,500.0,32.490303,0.9437634,694
12,30.071747,0.5117621,48.64288,108.684685,15.444972,500.0,32.13793,0.9540482,1468
9,27.256727,0.51364607,47.930523,107.38392,14.6485815,500.0,33.70776,1.0413682,497
8,29.11224,0.53690434,48.32893,109.6289,13.078656,500.0,30.378944,1.0234895,2789
9,31.335075,0.5784647,51.11368,101.50943,15.616083,500.0,30.76066,1.2482142,685
9,32.151,0.5502393,44.645744,96.91,17.546772,500.0,31.12476,1.0196297,27961
7,32.1557,0.5680311,55.709167,100.15299,17.60135,500.0,25.431986,0.89535666,15363
11,30.460268,0.590342,51.27577,107.4369,14.725665,500.0,28.554897,1.0681027,2273
12,29.92847,0.4980887,50.443787,101.77009,15.326914,500.0,31.293339,1.0314127,7199
6,32.732506,0.5152897,52.07332,107.436554,16.412964,500.0,25.4316,0.9629634,47925
9,30.767628,0.5754466,48.33131,115.00031,15.048391,500.0,31.692516,1.1069065,5477
12,29.87679,0.60464317,54.405174,104.652115,16.479687,500.0,31.85878,1.0340166,7065
12,30.21223,0.51722705,51.79151,106.800896,14.563488,500.0,32.23162,1.0834788,2137
8,29.11224,0.4929962,48.922314,103.27673,13.468849,500.0,34.913208,1.0216165,5722
9,30.669064,0.5628169,47.85666,98.03891,16.464022,500.0,27.534986,1.0474036,5743
12,32.684185,0.54685545,53.552937,108.915375,16.417368,500.0,28.500046,1.0018144,1503
10,33.35634,0.5819957,46.852757,110.05178,16.876303,500.0,28.51228,1.0602612,28704
12,32.76934,0.60701656,48.917725,101.91154,17.016537,500.0,28.569103,1.0391158,1504
6,32.13245,0.54607326,49.030518,95.6463,15.742736,500.0,24.847805,0.98843443,38884
10,31.297813,0.60470426,47.51444,103.50821,16.700722,500.0,35.376015,0.9683564,9262
8,34.46142,0.5421358,47.87116,96.03879,16.217035,500.0,25.405193,0.9175889,43098
12,31.990269,0.5589986,53.804333,120.475655,17.489614,500.0,30.896297,1.0949165,1494
13,29.381552,0.5755483,51.58788,95.77258,13.42288,500.0,40.56635,1.0510957,1059
14,31.606594,0.6236416,52.31916,111.10658,16.42286,500.0,27.962393,0.89924943,955
12,30.803574,0.65138954,48.17866,97.41396,15.1865015,500.0,26.427198,0.9938117,945
12,32.092842,0.5800652,53.765663,119.903824,16.503517,500.0,32.26784,1.1137581,1228
11,33.741463,0.5463174,50.020298,109.57668,16.845736,500.0,30.589552,1.0461416,8717
11,32.907124,0.61542434,49.638252,108.937004,15.951373,500.0,30.119564,1.0446285,706
10,29.419249,0.5598755,47.201115,120.03069,13.755499,500.0,29.921055,1.2066691,926
10,29.846859,0.618734,52.519814,110.48244,13.442096,500.0,31.75973,0.90358573,532
13,27.708874,0.5366499,51.20663,116.94062,15.026289,500.0,29.684883,1.103663,1970
12,31.990269,0.59313005,54.687798,123.24966,14.603995,500.0,31.573395,1.0560427,827
15,32.65614,0.5377949,52.347843,114.25846,17.606125,500.0,36.313976,1.0579411,1503
11,32.12805,0.55838794,55.663536,111.317924,16.476725,500.0,29.059162,1.2087274,5229
14,35.62715,0.6229917,51.143604,103.63174,16.844097,500.0,31.556673,1.0351245,2076
9,33.480785,0.52114934,52.128746,100.57288,17.090712,500.0,25.827618,0.9506055,42580
14,32.52198,0.55196935,53.835205,106.963,15.028627,500.0,32.553482,1.1779013,4034
12,29.92847,0.58914846,48.72682,113.67493,14.760898,500.0,31.1347,1.0555365,22070
14,29.860485,0.5242979,51.839584,110.323204,15.291519,500.0,37.834187,1.1645973,4132
12,33.50639,0.5541237,52.539234,104.013176,16.66151,500.0,25.267313,0.967348,20180
13,31.137108,0.5445553,49.11015,97.6028,15.283855,500.0,28.056826,0.9957664,18816
11,32.31578,0.56188995,48.252106,96.90622,17.446497,500.0,28.45454,1.0900081,34698
9,32.72856,0.5529555,49.99911,105.4329,17.040741,500.0,29.792679,1.0551065,51060
8,29.255518,0.55327064,46.692486,109.71855,15.535385,500.0,36.214493,0.98715997,18850
8,28.76078,0.5783225,51.523895,105.72011,12.947975,500.0,31.879248,1.0113633,33067
7,30.638891,0.52678317,53.294804,101.979,15.019479,500.0,28.630516,1.1232529,66275
10,31.754568,0.5906265,51.765846,102.380585,17.512293,500.0,27.834814,1.0429265,55323
11,31.895782,0.54155636,50.764435,112.63612,15.619719,500.0,30.370785,1.020166,56853
9,28.7091,0.5482868,50.146812,118.56941,14.474771,500.0,38.703133,1.0876775,53658
14,33.86309,0.63262165,49.726105,102.05618,17.280266,500.0,30.980028,1.1394244,43653
9,30.525787,0.5102771,52.934177,103.95883,14.857027,500.0,27.77713,0.9263276,54477
13,31.46857,0.61462474,48.90422,112.511734,15.375639,500.0,29.32863,0.9463665,54155
13,30.56577,0.6146759,48.737915,108.1174,16.41894,500.0,28.348078,0.97655165,61476
